input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00766.dcm,dataset\bone_masks\mask00766.dcm,5271,256106,285,482,0.9162176255866504,0.9487041036717062,0.0011115834799193419,0.08378237441334956,0.2925872802734375,0.8729711825107651,0.9321779113980015
dataset\inputs\input00767.dcm,dataset\bone_masks\mask00767.dcm,2710,259141,91,202,0.9306318681318682,0.9675116029989289,0.0003510369090235773,0.06936813186813187,0.1117706298828125,0.9024309024309024,0.9487134605286189
dataset\inputs\input00768.dcm,dataset\bone_masks\mask00768.dcm,5429,255947,327,441,0.9248722316865418,0.9431897150799166,0.001275978054738288,0.07512776831345826,0.29296875,0.8760690656769404,0.9339411663512817
dataset\inputs\input00769.dcm,dataset\bone_masks\mask00769.dcm,5716,255689,311,428,0.9303385416666666,0.9483988717438194,0.00121484375,0.06966145833333333,0.2819061279296875,0.8855151045701007,0.9392818995974037
dataset\inputs\input00770.dcm,dataset\bone_masks\mask00770.dcm,5378,256082,274,410,0.9291637871458189,0.9515215852795471,0.0010688261636162212,0.07083621285418107,0.26092529296875,0.8871659518310789,0.9402097902097902
dataset\inputs\input00771.dcm,dataset\bone_masks\mask00771.dcm,5447,256084,300,313,0.9456597222222223,0.9477988515747346,0.0011701198202695956,0.05434027777777778,0.2338409423828125,0.8988448844884489,0.946728078560876
dataset\inputs\input00772.dcm,dataset\bone_masks\mask00772.dcm,5475,256008,348,313,0.945922598479613,0.9402369912416281,0.001357487244300894,0.05407740152038701,0.2521514892578125,0.8922750977835724,0.9430712255619671
dataset\inputs\input00773.dcm,dataset\bone_masks\mask00773.dcm,2610,259250,90,194,0.9308131241084165,0.9666666666666667,0.0003470347805968998,0.06918687589158345,0.10833740234375,0.9018659295093295,0.9484011627906976
dataset\inputs\input00774.dcm,dataset\bone_masks\mask00774.dcm,2563,259302,94,185,0.9326783114992722,0.9646217538577343,0.0003623802988480933,0.0673216885007278,0.1064300537109375,0.9018296973961998,0.9483811285846439
dataset\inputs\input00775.dcm,dataset\bone_masks\mask00775.dcm,2596,259250,102,196,0.9297994269340975,0.9621942179392142,0.0003932878867330886,0.07020057306590258,0.113677978515625,0.8970283344851415,0.945719489981785
dataset\inputs\input00776.dcm,dataset\bone_masks\mask00776.dcm,2521,259325,102,196,0.9278616120721384,0.9611132291269538,0.00039317418772911067,0.0721383879278616,0.113677978515625,0.8942887548776162,0.9441947565543071
dataset\inputs\input00777.dcm,dataset\bone_masks\mask00777.dcm,2430,259384,74,256,0.9046909903201787,0.9704472843450479,0.00028520993763923256,0.0953090096798213,0.125885009765625,0.8804347826086957,0.9364161849710982
dataset\inputs\input00778.dcm,dataset\bone_masks\mask00778.dcm,2560,259277,124,183,0.9332847247539191,0.9538002980625931,0.00047802437153287767,0.06671527524608094,0.1171112060546875,0.8929194279734917,0.943430993182237
dataset\inputs\input00779.dcm,dataset\bone_masks\mask00779.dcm,2125,259733,89,197,0.9151593453919036,0.9598012646793135,0.00034254220196904033,0.08484065460809646,0.109100341796875,0.8813770219825797,0.9369488536155203
